Element, g_debug
319,  230.23479
320, -544.13733
321,  2733.39551
322, -575.8161
323, -489.74515
324,  2240.06128
325, -802.18958
326, -186.13986
327,  17659.44922
328, -2163.28613
329, -3842.2876
330,  41505.51563
331, -12590.91699
332,  7072.67969
333,  6973.4541
334, -1687.04382
335,  270.29004
336,  20888.1582
337, -2468.75146
338, -1977.69031
339,  38409.65234
340, -6581.73877
341, -3260.93457
342,  3677.11108
343, -218.72603
344, -1153.52661
345,  30245.94531
346,  1257.85291
347, -7623.91504
348,  39739.21484
349, -4537.36035
350, -7367.40381
351,  20985.4082
352, -5359.37354
353, -1384.42871
354,  34110.93359
355, -11503.2793
356,  1598.64539
357,  42357.96875
358, -3637.21973
359, -3314.25342
360,  23593.93555
361, -4088.26807
362, -1874.02515
363,  11394.77832
364, -358.96805
365, -1692.18652
366,  18216.03125
367, -4002.81909
368, -1333.63306
369,  6295.77783
370,  541.35223
371, -2990.70947
372,  13414.1377
373, -38.80529
374, -4907.35498
375,  13816.70801
376, -3005.40259
377, -4102.9375
378,  12377.61426
379, -3125.31934
380, -1340.43311
381,  4862.30273
382, -1292.86987
383, -137.55338
384,  11701.74316
385, -2760.42505
386, -1156.85168
387,  16612.48828
388, -52.51
389,  256.85315
390,  9516.75195
391, -1508.86353
392,  425.37567
393,  36184.89844
394,  1042.33533
395, -3253.0376
396,  78869.82031
397, -33224.98828
398,  2725.99658
399,  9163.59473
400, -2212.2439
401, -340.81912
402,  18534.30664
403, -6587.82031
404, -322.78778
405,  42202.30859
406, -8513.31738
407, -5481.37598
408,  22018.32031
409, -2873.30078
410, -2645.51855
411,  20788.62109
412, -5039.35205
413, -2871.43066
414,  15408.17773
415, -5255.7627
416, -451.77844
417,  24148.8418
418, -8832.69238
419, -988.29932
420,  28602.92383
421, -10310.41406
422,  819.82367
423,  12258.44434
424, -2740.41211
425, -1112.11621
426,  9685.22949
427, -881.83539
428, -882.48145
429,  55938.72266
430, -5638.53418
431, -11445.40332
432,  18871.79492
433, -1088.47729
434, -2354.91846
435,  11258.39355
436, -1655.28735
437, -3895.2085
438,  12006.22168
439,  740.18445
440, -1656.11816
441,  14374.78027
442, -4187.64697
443,  508.9574
444,  15183.98535
445, -2247.03809
446, -3174.76831
447,  18862.72266
448, -4312.66748
449, -4987.84912
450,  12242.73633
451, -2000.87842
452, -44.06248
453,  43526.83203
454, -16989.8418
455,  583.05737
456,  9839.05469
457, -2435.78467
458, -1393.06104
459,  13203.59375
460, -4267.69482
461,  566.56244
462,  21702.27539
463, -681.15302
464, -3762.23511
465,  24621.08594
466, -5331.23486
467, -237.76993
468,  38688.94531
469, -8192.17578
470, -6124.36621
471,  15114.46191
472, -2148.12476
473, -3506.28564
474,  42720.74609
475, -10702.92383
476,  1463.69055
477,  18961.12891
478, -482.37903
479, -5826.81934
480,  18744.41016
481, -3410.90063
482, -4885.04785
483,  11160.35156
484, -2991.55298
485, -1635.89502
486,  4996.51025
487, -887.05798
488, -983.58496
489,  1486.87769
490,  165.74979
491, -152.825
492,  15308.65723
493, -3083.45923
494, -984.14349
495,  19231.9375
496,  1283.22107
497, -4790.95508
498,  11271.1875
499, -4455.9624
500, -1516.7627
501,  6921.21631
502, -412.55176
503,  41.55656
504,  14031.96875
505, -4400.3623
506,  192.96399
507,  9689.92676
508, -2300.71631
509, -2202.35913
510,  6979.82959
511, -273.61801
512,  4.52105
513,  5562.58984
514,  925.72571
515, -799.20123
516,  286.20471
517,  16.77863
518, -125.87157
519,  6233.63818
520, -2221.71436
521,  6.75879
522,  5077.76611
523, -933.38702
524,  715.73303
525,  9029.47656
526, -1012.49951
527, -1717.74146
528,  18196.77734
529, -3534.34619
530, -2132.34229
531,  2430.24414
532, -505.42007
533, -580.61804
534,  3755.61523
535, -1277.28333
536,  134.16655
537,  4299.96045
538, -1394.70459
539,  1.43028
540,  3994.49951
541, -1335.6311
542, -835.64142
543,  3782.56958
544, -358.26913
545, -561.35583
546,  14810.07031
547, -3345.94775
548, -2004.56677
549,  7549.43311
550, -2116.83496
551, -95.45354
552,  18490.4707
553, -154.95108
554, -1901.15002
555,  11412.01758
556, -3902.8667
557,  931.25983
558,  7572.48682
559, -1360.15564
560, -420.33072
561,  2519.86621
562, -681.75177
563,  252.02238
564,  14459.40234
565, -6204.63867
566, -575.29504
567,  30614.79102
568, -5030.76709
569,  2024.84204
570,  12913.50684
571, -2170.47729
572,  861.51233
573,  10831.64746
